Class,Precision,Recall,F1,Support
10,0.109±0.217,0.190±0.380,0.138±0.276,100
104,0.800±0.400,0.800±0.400,0.800±0.400,20
11,0.179±0.147,0.436±0.370,0.253±0.209,55
112,0.733±0.389,0.750±0.387,0.731±0.374,20
115,0.800±0.400,0.800±0.400,0.800±0.400,20
12,0.200±0.400,0.200±0.400,0.200±0.400,20
13,0.220±0.271,0.350±0.436,0.267±0.327,20
14,0.000±0.000,0.000±0.000,0.000±0.000,10
15,0.000±0.000,0.000±0.000,0.000±0.000,0
17,0.200±0.400,0.050±0.100,0.080±0.160,20
2,0.943±0.040,0.998±0.003,0.970±0.021,660
20,0.000±0.000,0.000±0.000,0.000±0.000,0
22,0.600±0.000,0.250±0.000,0.353±0.000,60
23,0.500±0.447,0.450±0.458,0.413±0.387,20
26,0.000±0.000,0.000±0.000,0.000±0.000,25
27,0.000±0.000,0.000±0.000,0.000±0.000,10
29,0.000±0.000,0.000±0.000,0.000±0.000,0
30,0.000±0.000,0.000±0.000,0.000±0.000,5
31,0.400±0.490,0.400±0.490,0.400±0.490,20
32,0.000±0.000,0.000±0.000,0.000±0.000,15
34,0.200±0.245,0.200±0.245,0.200±0.245,20
35,0.000±0.000,0.000±0.000,0.000±0.000,25
36,0.022±0.044,0.200±0.400,0.040±0.080,5
38,0.100±0.200,0.080±0.160,0.089±0.178,25
40,0.075±0.100,0.400±0.490,0.124±0.162,5
41,0.000±0.000,0.000±0.000,0.000±0.000,0
46,0.000±0.000,0.000±0.000,0.000±0.000,5
47,0.453±0.069,1.000±0.000,0.620±0.065,50
5,0.818±0.017,0.902±0.037,0.857±0.014,470
52,0.073±0.145,0.200±0.400,0.107±0.213,20
584,0.000±0.000,0.000±0.000,0.000±0.000,0
6,0.933±0.043,0.851±0.095,0.889±0.071,490
64,0.000±0.000,0.000±0.000,0.000±0.000,0
67,0.000±0.000,0.000±0.000,0.000±0.000,25
7,0.575±0.077,0.595±0.063,0.583±0.059,215
717,0.000±0.000,0.000±0.000,0.000±0.000,0
79,0.364±0.368,0.550±0.458,0.423±0.383,20
8,0.405±0.062,0.711±0.336,0.444±0.158,135
80,0.000±0.000,0.000±0.000,0.000±0.000,5
88,0.000±0.000,0.000±0.000,0.000±0.000,0
89,0.933±0.133,1.000±0.000,0.960±0.080,20
9,0.600±0.490,0.600±0.490,0.600±0.490,20
90,0.000±0.000,0.000±0.000,0.000±0.000,0
99,0.800±0.400,0.800±0.400,0.800±0.400,20
